name_country	user_cnt	age_avg	men_cnt	women_cnt	men_share	women_share
Ангола	639	42.01	384	255	0.6	0.4
Венгрия	558	42.52	247	311	0.44	0.56
Шри-Ланка	507	39.46	244	263	0.48	0.52
Новая Зеландия	493	42.97	280	213	0.57	0.43
Пакистан	490	38.73	389	101	0.79	0.21
Уругвай	484	40.75	299	185	0.62	0.38
Ливан	472	39.88	209	263	0.44	0.56
Сербия	449	41.38	251	198	0.56	0.44
Кот-д'Ивуар	435	41.21	231	204	0.53	0.47
Гаити	429	43.6	217	212	0.51	0.49
Чад	413	45.01	251	162	0.61	0.39
Святая Люсия	402	44.77	172	230	0.43	0.57
Иордания	366	40.24	179	187	0.49	0.51
Того	358	43.75	207	151	0.58	0.42
Экваториальная Гвинея	346	42.94	229	117	0.66	0.34
Буркина Фасо	339	48.55	201	138	0.59	0.41
Монголия	325	40.99	206	119	0.63	0.37
Хорватия	325	39.7	187	138	0.58	0.42
Чили	323	40.71	178	145	0.55	0.45
Сент-Винсент и Гренадины	318	42.57	210	108	0.66	0.34
Джерси о-в	316	39.55	174	142	0.55	0.45
Гана	311	40.94	189	122	0.61	0.39
Вьетнам	309	39.8	196	113	0.63	0.37
Гваделупа	295	46.33	193	102	0.65	0.35
Папуа Новая Гвинея	288	47.72	176	112	0.61	0.39
Соломоновы о-ва	287	47.4	163	124	0.57	0.43
Сомали	267	48.45	195	72	0.73	0.27
Индонезия	254	36.56	139	115	0.55	0.45
Сьерра-Леоне	252	40.45	156	96	0.62	0.38
Туркс и Кейкос	252	43.37	168	84	0.67	0.33
Панама	235	41.74	155	80	0.66	0.34
Катар	231	38.47	158	73	0.68	0.32
Гренландия	219	46.97	124	95	0.57	0.43
Белиз	208	40.75	85	123	0.41	0.59
Перу	197	40.03	103	94	0.52	0.48
Джибути	196	44.43	122	74	0.62	0.38
Босния/Герцеговина	194	44.1	111	83	0.57	0.43
Северная Корея	193	32.95	130	63	0.67	0.33
Сен-Пьер и Микелон	190	39.75	115	75	0.61	0.39
Сальвадор	189	43.27	98	91	0.52	0.48
Нигерия	187	42.1	134	53	0.72	0.28
Самоа	173	42.07	89	84	0.51	0.49
Непал	158	47.14	101	57	0.64	0.36
Гватемала	156	46.43	93	63	0.6	0.4
Руанда	154	42.42	107	47	0.69	0.31
Гибралтар	142	47.13	90	52	0.63	0.37
Бутан	131	45.03	91	40	0.69	0.31
Танзания	129	46.71	74	55	0.57	0.43
Маврикий	128	41.84	61	67	0.48	0.52
Тонга	127	43.26	69	58	0.54	0.46
Судан	125	40.82	85	40	0.68	0.32
Гренада	118	47.24	69	49	0.58	0.42
Гамбия	113	42.54	69	44	0.61	0.39
Ботсвана	112	47.64	69	43	0.62	0.38
Сент Китс и Невис	111	45.66	61	50	0.55	0.45
Суринам	106	43.49	66	40	0.62	0.38
Кения	101	44.1	52	49	0.51	0.49
Новая Каледония о-в	90	39.27	56	34	0.62	0.38
